id,name,type,test_type_codes,test_type_labels,job_family,job_levels,industry,remote_testing,adaptive_irt,duration_minutes,description,languages,url,use_cases,keywords
97,Nursing Assistant Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Healthcare,Entry-Level | Graduate | Manager,Healthcare,True,False,45,"Nursing Assistant Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in healthcare roles within Healthcare. Used for hiring screening selection evaluation recruitment. nursing RN LPN registered nurse patient assessment clinical documentation care plan cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior healthcare professional assessment screening evaluation hiring healthcare sector assessment Nursing Assistant Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,Talent Acquisition,nursing assistant solution | ability & aptitude | biodata & situational judgement | personality & behavior | healthcare | entry-level | graduate | manager | nursing | assistant | solution
98,Personal Banker - Short Form,Pre-packaged Job Solution,"A,B,K,P,S",Ability & Aptitude | Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior | Simulations,Business,Entry-Level | Graduate | Manager | Mid-Professional,Banking/Finance,True,False,30,"Personal Banker - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations knowledge skills test technical expertise subject matter proficiency domain knowledge certification personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring banking/finance sector assessment Personal Banker Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,Talent Acquisition,personal banker - short form | ability & aptitude | biodata & situational judgement | knowledge & skills | personality & behavior | simulations | business | entry-level | graduate | manager | mid-professional | banking/finance | personal | banker | short | form
99,Phone Banker - Short Form,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | Graduate | Manager | Mid-Professional,Banking/Finance,True,False,30,"Phone Banker - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring banking/finance sector assessment Phone Banker Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,Talent Acquisition,phone banker - short form | ability & aptitude | biodata & situational judgement | personality & behavior | business | entry-level | graduate | manager | mid-professional | banking/finance | phone | banker | short | form
100,Prep/Line Cook Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | Graduate | Manager,,True,False,45,"Prep/Line Cook Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring Prep Line Cook Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,Talent Acquisition,prep/line cook solution | ability & aptitude | biodata & situational judgement | personality & behavior | business | entry-level | graduate | manager | prep | line | cook | solution
101,Professional + 7.0 Solution,Pre-packaged Job Solution,"A,B,C",Ability & Aptitude | Biodata & Situational Judgement | Competencies,Business,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,45,"Professional + 7.0 Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and competency framework behavioral competencies leadership capabilities UCF universal competency model. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in business roles. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations competency framework behavioral competencies leadership capabilities UCF universal competency model graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career business professional assessment screening evaluation hiring Professional Solution",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,Talent Acquisition,professional + 7.0 solution | ability & aptitude | biodata & situational judgement | competencies | business | graduate | manager | mid-professional | professional individual contributor | professional | solution
102,Professional + 7.1 (Americas),Pre-packaged Job Solution,"B,C,P",Biodata & Situational Judgement | Competencies | Personality & Behavior,Business,General Population | Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,"Professional + 7.1 (Americas) is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and competency framework behavioral competencies leadership capabilities UCF universal competency model, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for all levels general broad range mixed experience any background; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles. Used for hiring screening selection evaluation recruitment. biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations competency framework behavioral competencies leadership capabilities UCF universal competency model personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment all levels general broad range mixed experience any background graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring Professional Americas",Spanish | Japanese | Latin American Spanish | English (South Africa),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,Talent Acquisition,professional + 7.1 (americas) | biodata & situational judgement | competencies | personality & behavior | business | general population | graduate | manager | mid-professional | professional individual contributor | professional | americas
103,Professional + 7.1 (International),Pre-packaged Job Solution,"B,C,P",Biodata & Situational Judgement | Competencies | Personality & Behavior,Business,General Population | Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,"Professional + 7.1 (International) is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and competency framework behavioral competencies leadership capabilities UCF universal competency model, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for all levels general broad range mixed experience any background; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles. Used for hiring screening selection evaluation recruitment. biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations competency framework behavioral competencies leadership capabilities UCF universal competency model personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment all levels general broad range mixed experience any background graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring Professional International",English (USA) | English International | French | German | Spanish | Dutch | Chinese Simplified | Chinese Traditional | Japanese | Portuguese | Portuguese (Brazil) | Italian | Swedish | Norwegian | Danish | Finnish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,Talent Acquisition,professional + 7.1 (international) | biodata & situational judgement | competencies | personality & behavior | business | general population | graduate | manager | mid-professional | professional individual contributor | professional | international
104,Professional 7.0 Solution,Pre-packaged Job Solution,"B,C",Biodata & Situational Judgement | Competencies,Business,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,45,"Professional 7.0 Solution is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and competency framework behavioral competencies leadership capabilities UCF universal competency model. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in business roles. Used for hiring screening selection evaluation recruitment. biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations competency framework behavioral competencies leadership capabilities UCF universal competency model graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career business professional assessment screening evaluation hiring Professional Solution",English (USA) | English International | French | Spanish | Japanese | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,Talent Acquisition,professional 7.0 solution | biodata & situational judgement | competencies | business | graduate | manager | mid-professional | professional individual contributor | professional | solution
105,Professional 7.1 (International),Pre-packaged Job Solution,"C,B",Competencies | Biodata & Situational Judgement,Business,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,"Professional 7.1 (International) is a pre-packaged SHL job assessment solution measuring competency framework behavioral competencies leadership capabilities UCF universal competency model, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in business roles. Used for hiring screening selection evaluation recruitment. competency framework behavioral competencies leadership capabilities UCF universal competency model biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career business professional assessment screening evaluation hiring Professional International",English (USA) | English International | French | German | Spanish | Dutch | Japanese | Portuguese | Portuguese (Brazil) | Italian | Swedish | Norwegian | Danish | Finnish | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,Talent Acquisition,professional 7.1 (international) | competencies | biodata & situational judgement | business | graduate | manager | mid-professional | professional individual contributor | professional | international
106,Professional 8.0 JFA,Pre-packaged Job Solution,"B,K,P",Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior,Business,Graduate | Manager | Professional Individual Contributor,,True,False,,"Professional 8.0 JFA is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and knowledge skills test technical expertise subject matter proficiency domain knowledge certification, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; senior professional individual contributor specialist expert technical lead in business roles. Used for hiring screening selection evaluation recruitment. biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations knowledge skills test technical expertise subject matter proficiency domain knowledge certification personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior senior professional individual contributor specialist expert technical lead business professional assessment screening evaluation hiring Professional JFA",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,Talent Acquisition,professional 8.0 jfa | biodata & situational judgement | knowledge & skills | personality & behavior | business | graduate | manager | professional individual contributor | professional | jfa
107,Professional/Individual Contributor - Short Form,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Business,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,30,"Professional/Individual Contributor - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in business roles. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career business professional assessment screening evaluation hiring Professional Individual Contributor Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,Talent Acquisition,professional/individual contributor - short form | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | business | graduate | manager | mid-professional | professional individual contributor | professional | individual | contributor | short | form
108,Project Manager - Short Form,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Business,Graduate | Manager | Professional Individual Contributor,,True,False,30,"Project Manager - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; senior professional individual contributor specialist expert technical lead in business roles. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior senior professional individual contributor specialist expert technical lead business professional assessment screening evaluation hiring Project Manager Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/project-manager-short-form/,Talent Acquisition,project manager - short form | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | business | graduate | manager | professional individual contributor | project | short | form
109,Proof Operator - Processing Specialist -Short Form,Pre-packaged Job Solution,S,Simulations,Business,Entry-Level | Graduate | Manager,,True,False,30,Proof Operator - Processing Specialist -Short Form is a pre-packaged SHL job assessment solution measuring simulation work sample realistic job preview practical task performance hands-on assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles. Used for hiring screening selection evaluation recruitment. simulation work sample realistic job preview practical task performance hands-on assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring Proof Operator Processing Specialist Short Form,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Talent Acquisition,proof operator - processing specialist -short form | simulations | business | entry-level | graduate | manager | proof | operator | processing | specialist | short | form
110,Reservation Agent Solution,Pre-packaged Job Solution,"A,P,S,B",Ability & Aptitude | Personality & Behavior | Simulations | Biodata & Situational Judgement,Contact Center,Entry-Level | Graduate | Manager,Hospitality | Telecommunications,True,False,45,"Reservation Agent Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment, and simulation work sample realistic job preview practical task performance hands-on assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in contact center roles within Hospitality, Telecommunications. Used for hiring screening selection evaluation recruitment. reservation booking hospitality travel telephone bilingual customer contact agent cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior contact center professional assessment screening evaluation hiring hospitality sector assessment telecommunications sector assessment Reservation Agent Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,Talent Acquisition,reservation agent solution | ability & aptitude | personality & behavior | simulations | biodata & situational judgement | contact center | entry-level | graduate | manager | hospitality | telecommunications | reservation | agent | solution
111,Restaurant Manager Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Customer Service,Front Line Manager | Graduate | Manager | Supervisor,Hospitality,True,False,45,"Restaurant Manager Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in customer service roles within Hospitality. Used for hiring screening selection evaluation recruitment. restaurant food service FOH BOH kitchen hospitality customer dining experience cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior customer service professional assessment screening evaluation hiring hospitality sector assessment Restaurant Manager Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,Talent Acquisition,restaurant manager solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | customer service | front line manager | graduate | manager | supervisor | hospitality | restaurant | solution
112,Restaurant Supervisor Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Front Line Manager | Graduate | Manager | Supervisor,Hospitality,True,False,45,"Restaurant Supervisor Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles within Hospitality. Used for hiring screening selection evaluation recruitment. restaurant food service FOH BOH kitchen hospitality customer dining experience cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring hospitality sector assessment Restaurant Supervisor Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,Talent Acquisition,restaurant supervisor solution | ability & aptitude | biodata & situational judgement | personality & behavior | business | front line manager | graduate | manager | supervisor | hospitality | restaurant | solution
113,Retail Consultant Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | Graduate | Manager,Retail,True,False,45,"Retail Consultant Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles within Retail. Used for hiring screening selection evaluation recruitment. retail store assistant cashier customer sales point POS merchandise service floor cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring retail sector assessment Retail Consultant Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,Talent Acquisition,retail consultant solution | ability & aptitude | biodata & situational judgement | personality & behavior | business | entry-level | graduate | manager | retail | consultant | solution
114,Retail Manager w/ Sales Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Sales,Front Line Manager | Graduate | Manager | Supervisor,Retail,True,False,45,"Retail Manager w/ Sales Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in sales roles within Retail. Used for hiring screening selection evaluation recruitment. sales revenue generation pipeline CRM negotiation closing business development quota retail store assistant cashier customer sales point POS merchandise service floor cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior sales professional assessment screening evaluation hiring retail sector assessment Retail Manager Sales Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,Talent Acquisition,retail manager w/ sales solution | ability & aptitude | biodata & situational judgement | personality & behavior | sales | front line manager | graduate | manager | supervisor | retail | solution
115,Retail Sales Associate Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Sales,Entry-Level | Graduate | Manager,Retail,True,False,45,"Retail Sales Associate Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in sales roles within Retail. Used for hiring screening selection evaluation recruitment. sales revenue generation pipeline CRM negotiation closing business development quota retail store assistant cashier customer sales point POS merchandise service floor cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior sales professional assessment screening evaluation hiring retail sector assessment Retail Sales Associate Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,Talent Acquisition,retail sales associate solution | ability & aptitude | biodata & situational judgement | personality & behavior | sales | entry-level | graduate | manager | retail | associate | solution
116,Sales Director Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Sales,Director | Front Line Manager | Graduate | Manager,,True,False,45,"Sales Director Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for director VP vice president senior director strategic leader; front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee in sales roles. Used for hiring screening selection evaluation recruitment. sales revenue generation pipeline CRM negotiation closing business development quota cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment director VP vice president senior director strategic leader front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee sales professional assessment screening evaluation hiring Sales Director Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/sales-director-solution/,Talent Acquisition,sales director solution | ability & aptitude | biodata & situational judgement | personality & behavior | sales | director | front line manager | graduate | manager | solution
117,Sales Engineer Solution,Pre-packaged Job Solution,"A,B,K,P,S",Ability & Aptitude | Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior | Simulations,Sales,Graduate | Manager | Professional Individual Contributor,,True,False,45,"Sales Engineer Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; senior professional individual contributor specialist expert technical lead in sales roles. Used for hiring screening selection evaluation recruitment. sales revenue generation pipeline CRM negotiation closing business development quota cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations knowledge skills test technical expertise subject matter proficiency domain knowledge certification personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior senior professional individual contributor specialist expert technical lead sales professional assessment screening evaluation hiring Sales Engineer Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,Talent Acquisition,sales engineer solution | ability & aptitude | biodata & situational judgement | knowledge & skills | personality & behavior | simulations | sales | graduate | manager | professional individual contributor | engineer | solution
