id,name,type,test_type_codes,test_type_labels,job_family,job_levels,industry,remote_testing,adaptive_irt,duration_minutes,description,languages,url,use_cases,keywords,job_family_id,job_level_ids,sub_industry_ids,skill_ids,cognitive_domain_ids,ucf_competency_cluster_ids,delivery_proctoring_id,delivery_bandwidth_id,delivery_device_ids,accessibility_flags,confidence_score,confidence_band,schema_version,effective_from,valid_until,lifecycle_status,gdpr_compliant,bias_audit_required,right_to_explanation
68,Host Solution,Pre-packaged Job Solution,"B,P",Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | Graduate | Manager,,True,False,40.0,"Host Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/host-solution/,Talent Acquisition,host solution | biodata & situational judgement | personality & behavior | business | host | solution,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
69,Industrial - Entry Level 7.0 Solution,Pre-packaged Job Solution,B,Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,40.0,"Industrial - Entry Level 7.0 Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | French | Spanish | Japanese | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,Talent Acquisition,industrial - entry level 7.0 solution | biodata & situational judgement | business | industrial | entry | level | solution,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.95,HIGH,2.0,2026-03-01,,active,True,True,True
70,Industrial - Entry Level 7.1 (Americas),Pre-packaged Job Solution,B,Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,,"Industrial - Entry Level 7.1 (Americas) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | French | Spanish | Japanese | Portuguese | Portuguese (Brazil) | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Talent Acquisition,industrial - entry level 7.1 (americas) | biodata & situational judgement | business | industrial | entry | level | americas,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.88,HIGH,2.0,2026-03-01,,active,True,True,True
71,Industrial - Entry Level 7.1 (International),Pre-packaged Job Solution,B,Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,,"Industrial - Entry Level 7.1 (International) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | French | German | Dutch | Japanese | Portuguese | Portuguese (Brazil) | Norwegian | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Talent Acquisition,industrial - entry level 7.1 (international) | biodata & situational judgement | business | industrial | entry | level | international,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.88,HIGH,2.0,2026-03-01,,active,True,True,True
72,Industrial - Professional and Skilled 7.0 Solution,Pre-packaged Job Solution,"A,B",Ability & Aptitude | Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,40.0,"Industrial - Professional and Skilled 7.0 Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | French | Spanish | Japanese | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Talent Acquisition,industrial - professional and skilled 7.0 solution | ability & aptitude | biodata & situational judgement | business | industrial | professional | skilled | solution,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.95,HIGH,2.0,2026-03-01,,active,True,True,True
73,Industrial - Semi-skilled 7.1 (Americas),Pre-packaged Job Solution,B,Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,,"Industrial - Semi-skilled 7.1 (Americas) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | French | Japanese | Portuguese | Portuguese (Brazil) | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Talent Acquisition,industrial - semi-skilled 7.1 (americas) | biodata & situational judgement | business | industrial | semi | skilled | americas,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.88,HIGH,2.0,2026-03-01,,active,True,True,True
74,Industrial - Semi-skilled 7.1 (International),Pre-packaged Job Solution,B,Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,,"Industrial - Semi-skilled 7.1 (International) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | French | Japanese | Swedish | Norwegian | Danish | Finnish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Talent Acquisition,industrial - semi-skilled 7.1 (international) | biodata & situational judgement | business | industrial | semi | skilled | international,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.88,HIGH,2.0,2026-03-01,,active,True,True,True
75,Industrial Professional and Skilled 7.1 (Americas),Pre-packaged Job Solution,"A,B",Ability & Aptitude | Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,,"Industrial Professional and Skilled 7.1 (Americas) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | French | Japanese | Portuguese | Portuguese (Brazil) | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Talent Acquisition,industrial professional and skilled 7.1 (americas) | ability & aptitude | biodata & situational judgement | business | industrial | professional | skilled | americas,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.88,HIGH,2.0,2026-03-01,,active,True,True,True
76,Industrial Professional and Skilled 7.1 Solution,Pre-packaged Job Solution,"A,B",Ability & Aptitude | Biodata & Situational Judgement,Business,Entry-Level | Graduate | Manager,Manufacturing,True,False,40.0,"Industrial Professional and Skilled 7.1 Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | French | German | Dutch | Japanese | Portuguese | Portuguese (Brazil) | Italian | Swedish | Norwegian | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Talent Acquisition,industrial professional and skilled 7.1 solution | ability & aptitude | biodata & situational judgement | business | industrial | professional | skilled | solution,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_MFG_AUT_001|IND_MFG_IND_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.95,HIGH,2.0,2026-03-01,,active,True,True,True
77,Installation and Repair Technician Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Business,Graduate | Manager | Professional Individual Contributor,,True,False,40.0,"Installation and Repair Technician Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Graduate, Manager roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,Talent Acquisition,installation and repair technician solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | business | installation | repair | technician | solution,JF_BUS_001,JL_GRD_001|JL_MGR_001|JL_PIC_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
78,Insurance Account Manager Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Sales,Executive | Graduate | Manager | Mid-Professional,Banking/Finance | Insurance,True,False,40.0,"Insurance Account Manager Solution is a pre-packaged SHL assessment solution designed for Sales hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Executive, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,Talent Acquisition,insurance account manager solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | sales | insurance | account | manager | solution,JF_SAL_001,JL_EXC_001|JL_GRD_001|JL_MGR_001|JL_MID_001,IND_BNK_RET_001|IND_BNK_INV_001|IND_INS_LIF_001|IND_INS_GEN_001,SKL_SOFT_NEG_001|SKL_BUS_SAL_001|SKL_SOFT_COM_001|SKL_SOFT_LDR_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_IP_001|CL_EP_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
79,Insurance Administrative Assistant Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Clerical,Entry-Level | Graduate | Manager,Banking/Finance | Insurance,True,False,40.0,"Insurance Administrative Assistant Solution is a pre-packaged SHL assessment solution designed for Clerical hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,Talent Acquisition,insurance administrative assistant solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | clerical | insurance | administrative | assistant | solution,JF_CLR_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_BNK_RET_001|IND_BNK_INV_001|IND_INS_LIF_001|IND_INS_GEN_001,SKL_SOFT_TMG_001|SKL_BUS_OPS_001|SKL_SOFT_COM_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_OE_001|CL_SC_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
80,Insurance Agent Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Graduate | Manager | Mid-Professional,Banking/Finance | Insurance,True,False,40.0,"Insurance Agent Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Graduate, Manager roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/insurance-agent-solution/,Talent Acquisition,insurance agent solution | ability & aptitude | biodata & situational judgement | personality & behavior | business | insurance | agent | solution,JF_BUS_001,JL_GRD_001|JL_MGR_001|JL_MID_001,IND_BNK_RET_001|IND_BNK_INV_001|IND_INS_LIF_001|IND_INS_GEN_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
81,Insurance Director Solution,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Director | Front Line Manager | Graduate | Manager | Supervisor,Banking/Finance | Insurance,True,False,40.0,"Insurance Director Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Director, Front Line Manager roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/insurance-director-solution/,Talent Acquisition,insurance director solution | ability & aptitude | biodata & situational judgement | personality & behavior | business | insurance | director | solution,JF_BUS_001,JL_DIR_001|JL_FLM_001|JL_GRD_001|JL_MGR_001|JL_SUP_001,IND_BNK_RET_001|IND_BNK_INV_001|IND_INS_LIF_001|IND_INS_GEN_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
82,Insurance Sales Manager Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Sales,Front Line Manager | Graduate | Manager | Supervisor,Banking/Finance | Insurance,True,False,40.0,"Insurance Sales Manager Solution is a pre-packaged SHL assessment solution designed for Sales hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,Talent Acquisition,insurance sales manager solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | sales | insurance | manager | solution,JF_SAL_001,JL_FLM_001|JL_GRD_001|JL_MGR_001|JL_SUP_001,IND_BNK_RET_001|IND_BNK_INV_001|IND_INS_LIF_001|IND_INS_GEN_001,SKL_SOFT_NEG_001|SKL_BUS_SAL_001|SKL_SOFT_COM_001|SKL_SOFT_LDR_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_IP_001|CL_EP_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
83,Manager - Short Form,Pre-packaged Job Solution,"A,B,K,P,S",Ability & Aptitude | Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior | Simulations,Business,Front Line Manager | Graduate | Manager | Supervisor,,True,False,30.0,"Manager - Short Form is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Knowledge & Skills to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-short-form/,Talent Acquisition,manager - short form | ability & aptitude | biodata & situational judgement | knowledge & skills | personality & behavior | simulations | business | manager | short | form,JF_BUS_001,JL_FLM_001|JL_GRD_001|JL_MGR_001|JL_SUP_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_LRN_001|COG_NUM_001|COG_SPD_001|COG_VRB_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
84,Manager + 7.0 Solution,Pre-packaged Job Solution,"A,B,C",Ability & Aptitude | Biodata & Situational Judgement | Competencies,Business,Front Line Manager | Graduate | Manager,,True,False,40.0,"Manager + 7.0 Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Competencies to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,Talent Acquisition,manager + 7.0 solution | ability & aptitude | biodata & situational judgement | competencies | business | manager | solution,JF_BUS_001,JL_FLM_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
85,Manager + 7.1 (Americas),Pre-packaged Job Solution,"B,C,P",Biodata & Situational Judgement | Competencies | Personality & Behavior,Business,Director | Executive | Front Line Manager | Graduate | Manager,,True,False,,"Manager + 7.1 (Americas) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Competencies and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Director, Executive roles.",English (USA) | French | Spanish | Japanese | Portuguese | Portuguese (Brazil) | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,Talent Acquisition,manager + 7.1 (americas) | biodata & situational judgement | competencies | personality & behavior | business | manager | americas,JF_BUS_001,JL_DIR_001|JL_EXC_001|JL_FLM_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.8,MEDIUM,2.0,2026-03-01,,active,True,True,True
86,Manager + 7.1 (International),Pre-packaged Job Solution,"B,C,P",Biodata & Situational Judgement | Competencies | Personality & Behavior,Business,Director | Executive | Front Line Manager | Graduate | Manager,,True,False,,"Manager + 7.1 (International) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Competencies and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Director, Executive roles.",English (USA) | French | Dutch | Japanese | Portuguese | Portuguese (Brazil) | Italian | Swedish | Norwegian | Danish | Finnish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,Talent Acquisition,manager + 7.1 (international) | biodata & situational judgement | competencies | personality & behavior | business | manager | international,JF_BUS_001,JL_DIR_001|JL_EXC_001|JL_FLM_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.8,MEDIUM,2.0,2026-03-01,,active,True,True,True
87,Manager 7.0 Solution,Pre-packaged Job Solution,"B,C",Biodata & Situational Judgement | Competencies,Business,Front Line Manager | Graduate | Manager,,True,False,40.0,"Manager 7.0 Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Competencies to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | English International | French | Spanish | Japanese | Latin American Spanish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,Talent Acquisition,manager 7.0 solution | biodata & situational judgement | competencies | business | manager | solution,JF_BUS_001,JL_FLM_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.87,HIGH,2.0,2026-03-01,,active,True,True,True
88,Manager 7.1 (Americas),Pre-packaged Job Solution,"B,C,P",Biodata & Situational Judgement | Competencies | Personality & Behavior,Business,Director | Executive | Front Line Manager | Graduate | Manager,,True,False,,"Manager 7.1 (Americas) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Competencies and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Director, Executive roles.",English (USA) | English International | French | German | Japanese | Portuguese | Portuguese (Brazil) | Italian | Norwegian | Danish | Finnish | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,Talent Acquisition,manager 7.1 (americas) | biodata & situational judgement | competencies | personality & behavior | business | manager | americas,JF_BUS_001,JL_DIR_001|JL_EXC_001|JL_FLM_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.8,MEDIUM,2.0,2026-03-01,,active,True,True,True
89,Manager 7.1 (International),Pre-packaged Job Solution,"B,C,P",Biodata & Situational Judgement | Competencies | Personality & Behavior,Business,Director | Executive | Front Line Manager | Graduate | Manager,,True,False,,"Manager 7.1 (International) is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Competencies and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Director, Executive roles.",English (USA) | English International | French | German | Dutch | Japanese | Portuguese | Portuguese (Brazil) | Italian | Swedish | Norwegian | Danish | Finnish | Romanian | French (Canada) | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,Talent Acquisition,manager 7.1 (international) | biodata & situational judgement | competencies | personality & behavior | business | manager | international,JF_BUS_001,JL_DIR_001|JL_EXC_001|JL_FLM_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.8,MEDIUM,2.0,2026-03-01,,active,True,True,True
90,Manager 8.0 JFA,Pre-packaged Job Solution,"B,K,P",Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior,Business,Graduate | Manager,,True,False,,"Manager 8.0 JFA is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Knowledge & Skills and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Graduate, Manager roles.",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,Talent Acquisition,manager 8.0 jfa | biodata & situational judgement | knowledge & skills | personality & behavior | business | manager,JF_BUS_001,JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001|COG_LRN_001|COG_SPD_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
